game_id,date,home_team,away_team,home_score,away_score,home_hits,away_hits,home_errors,away_errors,status,game_time,day_or_night,stadium,home_plate_umpire,inning_1_away,inning_1_home,inning_2_away,inning_2_home,inning_3_away,inning_3_home,inning_4_away,inning_4_home,inning_5_away,inning_5_home,inning_6_away,inning_6_home,inning_7_away,inning_7_home,inning_8_away,inning_8_home,inning_9_away,inning_9_home,inning_10_away,inning_10_home,inning_11_away,inning_11_home,inning_12_away,inning_12_home,inning_13_away,inning_13_home,inning_14_away,inning_14_home
745279,31/03/2024,Seattle Mariners,Boston Red Sox,1,5,4,10,0,0,Final,31/03/2024 16:10,Dia,T-Mobile Park,Chris Segal,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
745438,31/03/2024,San Diego Padres,San Francisco Giants,13,4,16,5,0,1,Final,31/03/2024 16:10,Dia,Petco Park,Edwin Moscoso,0,5,0,4,0,3,2,0,0,0,0,0,2,0,0,1,0,,,,,,,,,,,
746166,31/03/2024,Los Angeles Dodgers,St. Louis Cardinals,5,4,8,8,1,0,Final,31/03/2024 19:10,Noche,Dodger Stadium,Sean Barber,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,3,0,,,,,,,,,,,
746817,01/04/2024,Chicago White Sox,Atlanta Braves,0,9,3,11,0,0,Final,01/04/2024 14:10,Dia,Guaranteed Rate Field,Erich Bacchus,0,0,0,0,1,0,2,0,1,0,2,0,0,0,3,0,,,,,,,,,,,,
746899,01/04/2024,Chicago Cubs,Colorado Rockies,5,0,9,3,1,2,Final,01/04/2024 14:20,Dia,Wrigley Field,Ben May,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,,,,,,,,,,,
744875,01/04/2024,Washington Nationals,Pittsburgh Pirates,4,8,8,15,0,0,Final,01/04/2024 16:05,Dia,Nationals Park,Andy Fletcher,0,0,2,0,0,1,0,0,0,0,1,0,0,2,3,0,2,1,,,,,,,,,,
747058,01/04/2024,Baltimore Orioles,Kansas City Royals,6,4,9,7,2,0,Final,01/04/2024 18:35,Noche,Oriole Park at Camden Yards,Brennan Miller,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,
745600,01/04/2024,Philadelphia Phillies,Cincinnati Reds,3,6,7,8,0,0,Final,01/04/2024 18:40,Noche,Citizens Bank Park,Bill Miller,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,,,,,,,,
746085,01/04/2024,Miami Marlins,Los Angeles Angels,4,7,9,7,0,1,Final,01/04/2024 18:40,Noche,loanDepot park,Jordan Baker,0,4,1,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,,,,,,,,,,
745109,01/04/2024,Tampa Bay Rays,Texas Rangers,3,9,5,8,1,0,Final,01/04/2024 18:50,Noche,Tropicana Field,Roberto Ortiz,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,2,0,,,,,,,,,,
745842,01/04/2024,New York Mets,Detroit Tigers,0,5,5,4,1,0,Final,01/04/2024 19:10,Noche,Citi Field,Lance Barksdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,
746409,01/04/2024,Houston Astros,Toronto Blue Jays,10,0,12,0,0,0,Final,01/04/2024 20:10,Noche,Minute Maid Park,Charlie Ramos,0,3,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,,,,,,,,,,,
745675,01/04/2024,Oakland Athletics,Boston Red Sox,0,9,4,9,5,0,Final,01/04/2024 21:40,Noche,Oakland Coliseum,Alan Porter,1,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
745277,01/04/2024,Seattle Mariners,Cleveland Guardians,5,4,7,6,0,1,Final,01/04/2024 21:40,Noche,T-Mobile Park,Mark Ripperger,0,0,0,4,2,0,0,1,0,0,1,0,0,0,1,0,0,,,,,,,,,,,
745437,01/04/2024,San Diego Padres,St. Louis Cardinals,2,6,5,14,0,0,Final,01/04/2024 21:40,Noche,Petco Park,Marvin Hudson,3,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,,,,,,,,,,
747218,01/04/2024,Arizona Diamondbacks,New York Yankees,2,5,4,8,2,1,Final,01/04/2024 21:40,Noche,Chase Field,Larry Vanover,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
746170,01/04/2024,Los Angeles Dodgers,San Francisco Giants,8,3,9,8,1,0,Final,01/04/2024 22:10,Noche,Dodger Stadium,Dan Bellino,0,1,0,0,0,2,0,0,0,0,1,3,1,2,0,0,1,,,,,,,,,,,
746009,02/04/2024,Milwaukee Brewers,Minnesota Twins,3,2,7,3,1,0,Final,02/04/2024 16:10,Dia,American Family Field,Clint Vondrak,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
747057,02/04/2024,Baltimore Orioles,Kansas City Royals,1,4,3,8,0,0,Final,02/04/2024 18:35,Noche,Oriole Park at Camden Yards,Brian O'Nora,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
745598,02/04/2024,Philadelphia Phillies,Cincinnati Reds,9,4,9,8,2,3,Final,02/04/2024 18:40,Noche,Citizens Bank Park,Doug Eddings,0,1,0,0,1,0,0,1,0,0,0,1,0,5,1,1,2,,,,,,,,,,,
746086,02/04/2024,Miami Marlins,Los Angeles Angels,1,3,5,7,1,0,Final,02/04/2024 18:40,Noche,loanDepot park,Stu Scheurwater,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,,,,,,,,,,
745111,02/04/2024,Tampa Bay Rays,Texas Rangers,5,2,7,7,0,1,Final,02/04/2024 18:50,Noche,Tropicana Field,Alfonso Márquez,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,1,,,,,,,,,,,
746898,02/04/2024,Chicago Cubs,Colorado Rockies,12,2,14,7,0,0,Final,02/04/2024 19:40,Noche,Wrigley Field,Dan Iassogna,0,2,0,1,0,3,0,1,0,0,0,3,2,2,0,0,0,,,,,,,,,,,
746814,02/04/2024,Chicago White Sox,Atlanta Braves,3,2,7,5,0,0,Final,02/04/2024 19:40,Noche,Guaranteed Rate Field,Tom Hanahan,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,,,,,,,,,,,
746411,02/04/2024,Houston Astros,Toronto Blue Jays,1,2,8,8,0,1,Final,02/04/2024 20:10,Noche,Minute Maid Park,Chad Fairchild,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,
745680,02/04/2024,Oakland Athletics,Boston Red Sox,4,5,7,12,0,0,Final,02/04/2024 21:40,Noche,Oakland Coliseum,Ryan Blakney,1,0,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,
745273,02/04/2024,Seattle Mariners,Cleveland Guardians,2,5,9,12,2,1,Final,02/04/2024 21:40,Noche,T-Mobile Park,Adam Hamari,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,,,,,,,,,,
745439,02/04/2024,San Diego Padres,St. Louis Cardinals,2,5,9,6,1,0,Final,02/04/2024 21:40,Noche,Petco Park,Hunter Wendelstedt,0,0,0,1,1,0,0,1,0,0,2,0,0,0,2,0,0,0,,,,,,,,,,
747220,02/04/2024,Arizona Diamondbacks,New York Yankees,7,0,11,3,0,1,Final,02/04/2024 21:40,Noche,Chase Field,Scott Barry,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,,,,,,,,,,
746169,02/04/2024,Los Angeles Dodgers,San Francisco Giants,5,4,9,9,0,0,Final,02/04/2024 22:10,Noche,Dodger Stadium,Phil Cuzzi,0,1,1,0,1,1,0,3,0,0,2,0,0,0,0,0,0,,,,,,,,,,,
745844,02/04/2024,New York Mets,Detroit Tigers,3,6,6,9,0,0,Final,04/04/2024 12:10,Dia,Citi Field,Angel Hernandez,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,0,,,,,,
747059,03/04/2024,Baltimore Orioles,Kansas City Royals,4,3,6,10,0,0,Final,03/04/2024 13:05,Dia,Oriole Park at Camden Yards,Paul Clemons,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,,,,,,,,,,
745114,03/04/2024,Tampa Bay Rays,Texas Rangers,1,4,8,10,0,0,Final,03/04/2024 13:10,Dia,Tropicana Field,Lance Barrett,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,,,,,,,,,,
746083,03/04/2024,Miami Marlins,Los Angeles Angels,2,10,4,12,1,0,Final,03/04/2024 13:10,Dia,loanDepot park,Mark Carlson,2,0,0,0,2,2,0,0,2,0,0,0,3,0,1,0,0,0,,,,,,,,,,
746008,03/04/2024,Milwaukee Brewers,Minnesota Twins,3,7,7,11,0,0,Final,03/04/2024 13:10,Dia,American Family Field,Mark Wegner,0,0,0,1,0,0,0,1,1,1,0,0,5,0,0,0,1,0,,,,,,,,,,
745678,03/04/2024,Oakland Athletics,Boston Red Sox,0,1,8,10,0,2,Final,03/04/2024 15:37,Dia,Oakland Coliseum,Nate Tomlinson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
747219,03/04/2024,Arizona Diamondbacks,New York Yankees,5,6,9,8,1,1,Final,03/04/2024 15:40,Dia,Chase Field,Brian Walsh,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,,,,,,
745603,03/04/2024,Philadelphia Phillies,Cincinnati Reds,1,4,6,7,1,0,Final,03/04/2024 16:05,Dia,Citizens Bank Park,Chad Whitson,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,
745275,03/04/2024,Seattle Mariners,Cleveland Guardians,0,8,5,11,0,0,Final,03/04/2024 16:10,Dia,T-Mobile Park,Vic Carapazza,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
745440,03/04/2024,San Diego Padres,St. Louis Cardinals,3,2,7,6,1,0,Final,03/04/2024 16:10,Dia,Petco Park,John Tumpane,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
744869,03/04/2024,Washington Nationals,Pittsburgh Pirates,5,3,10,4,1,1,Final,03/04/2024 18:45,Noche,Nationals Park,Mike Muchlinski,0,0,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,
